Chemical,Health Hazards,Function in Cosmetics,Common Uses,Regulatory Limitations (if applicable)
Butylphenyl Methylpropional,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
C12-15 Alkyl Benzoate,"Skin irritation, potential allergic reactions",Emollient,"Moisturizers, sunscreens, makeup products",No specific restrictions in cosmetics regulations
C13-14 Isoparaffin,"Skin irritation, potential respiratory effects",Solvent,"Skincare products, makeup products",No specific restrictions in cosmetics regulations
C13-16 Isoparaffin,"Skin irritation, potential respiratory effects",Solvent,"Skincare products, makeup products",No specific restrictions in cosmetics regulations
C14-22 Alcohols,"Skin irritation, potential allergic reactions",Emollient,"Moisturizers, sunscreens, makeup products",No specific restrictions in cosmetics regulations
Caffeine,"Can cause insomnia, nervousness, restlessness, stomach irritation",Stimulant,"Eye creams, skincare products, scalp treatments",No specific restrictions in cosmetics regulations
Calcium Carbonate,"Eye and skin irritation, potential respiratory effects",Abrasive,"Toothpaste, exfoliating scrubs, skincare products",No specific restrictions in cosmetics regulations
Calcium Sodium Borosilicate,"Eye irritation, potential respiratory effects","Bulking agent, opacifying agent","Eyeshadows, nail polishes, body paints",No specific restrictions in cosmetics regulations
Camphor,"Skin irritation, potential respiratory effects","Fragrance, cooling agent","Pain relief ointments, vapor rubs, skincare products",No specific restrictions in cosmetics regulations
Caprylic/Capric Triglyceride,"Skin irritation, potential allergic reactions",Emollient,"Moisturizers, makeup removers, haircare products",No specific restrictions in cosmetics regulations
Capryloyl Glycine,"Skin irritation, potential allergic reactions","Surfactant, skin conditioning agent","Cleansers, toners, skincare products",No specific restrictions in cosmetics regulations
Carbomer,"Skin irritation, allergic reactions","Thickener, stabilizer","Creams, gels, lotions",No specific restrictions in cosmetics regulations
Carboxymethylcellulose Sodium,"Eye and skin irritation, potential respiratory effects","Thickener, stabilizer","Creams, lotions, shampoos",No specific restrictions in cosmetics regulations
Carmine,"Skin irritation, potential allergic reactions",Pigment,"Lipsticks, blushes, eyeshadows",FDA-approved; EU: Restricted use in cosmetics
Castor Oil,"Skin irritation, allergic reactions",Emollient,"Lip balms, moisturizers, haircare products",No specific restrictions in cosmetics regulations
Ceteareth-20,"Skin irritation, potential allergic reactions",Emulsifier,"Creams, lotions, makeup products",No specific restrictions in cosmetics regulations
Ceteareth-25,"Skin irritation, potential allergic reactions",Emulsifier,"Creams, lotions, makeup products",No specific restrictions in cosmetics regulations
Cetearyl Alcohol,"Skin irritation, potential allergic reactions","Emollient, emulsifier","Creams, lotions, hair conditioners",No specific restrictions in cosmetics regulations
Cetearyl Glucoside,"Skin irritation, potential allergic reactions","Surfactant, emulsifier","Creams, lotions, cleansers",No specific restrictions in cosmetics regulations
Cetearyl Isononanoate,"Skin irritation, potential allergic reactions","Emollient, emulsifier","Moisturizers, makeup products",No specific restrictions in cosmetics regulations
Ceteth-20,"Skin irritation, potential allergic reactions","Emollient, emulsifier","Moisturizers, makeup products",No specific restrictions in cosmetics regulations
Cetyl Alcohol,"Skin irritation, potential allergic reactions","Emollient, emulsifier","Creams, lotions, hair conditioners",No specific restrictions in cosmetics regulations
Cetyl Palmitate,"Skin irritation, potential allergic reactions","Emollient, emulsifier","Moisturizers, makeup products",No specific restrictions in cosmetics regulations
Chamomilla Recutita (Matricaria) Flower Extract,"Skin irritation, potential allergic reactions","Skin conditioning agent, soothing agent","Skincare products, creams, lotions",No specific restrictions in cosmetics regulations
Chlorphenesin,"Skin irritation, allergic reactions",Preservative,"Skincare products, creams, lotions",No specific restrictions in cosmetics regulations
Chlorpheniramine Maleate,"Potential sedative effects, drowsiness",Antihistamine,"Skincare products, creams, lotions",No specific restrictions in cosmetics regulations
Chromium Hydroxide Green,"Skin irritation, potential respiratory effects",Pigment,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
Chromium Oxide Greens,"Skin irritation, potential respiratory effects",Pigment,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
Cinnamal,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Cinnamyl Alcohol,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Citral,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Citronellol,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
CI 11680,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 12085,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 12490,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 15510,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 15525,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 15580,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 15985,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 16035,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 17200,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 19140,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 42090,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 47000,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 60725,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 61565,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 61570,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 73015,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 75470,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 75480,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77000,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77002,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77004,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77007,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77019,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77046,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77163,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77288,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77289,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77291,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77292,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77299,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77346,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77861,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77891,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77947,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77957,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77958,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77961,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77962,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77963,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77964,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77965,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77966,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77967,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77968,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77969,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77970,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77971,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77972,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77973,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77974,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77975,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77976,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77977,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77978,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77979,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77980,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77981,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77982,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77983,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77984,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77985,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77986,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77987,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77988,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77989,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77990,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77991,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77992,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77993,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77994,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77995,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77996,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77997,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77998,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI 77999,Skin and eye irritation,Colorant,"Makeup products, skincare products",No specific restrictions in cosmetics regulations
CI Fluorescent Brightener 230,"Skin irritation, potential allergic reactions",Optical brightener,"Laundry detergents, fabric softeners",No specific restrictions in cosmetics regulations
CI Fluorescent Brightener 260,"Skin irritation, potential allergic reactions",Optical brightener,"Laundry detergents, fabric softeners",No specific restrictions in cosmetics regulations
CI Fluorescent Brightener 85,"Skin irritation, potential allergic reactions",Optical brightener,"Laundry detergents, fabric softeners",No specific restrictions in cosmetics regulations
Cinnamon Bark Extract,"Skin irritation, potential allergic reactions","Skin conditioning agent, fragrance","Skincare products, perfumes, haircare products",No specific restrictions in cosmetics regulations
Cinnamyl Butyrate,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Citric Acid,"Skin irritation, potential eye irritation","pH adjuster, antioxidant","Skincare products, haircare products, exfoliants",No specific restrictions in cosmetics regulations
Citronellal,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Citrus Aurantium Dulcis (Orange) Oil,"Skin irritation, potential allergic reactions",Fragrance,"Perfumes, cosmetics, skincare products",No specific restrictions in cosmetics regulations
Citrus Limon (Lemon) Fruit Extract,"Skin irritation, potential allergic reactions","Skin conditioning agent, fragrance","Skincare products, perfumes, haircare products",No specific restrictions in cosmetics regulations
